epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,664.277,1.42957,0.64831,0.99064,0.91323,0.85418,0.92082,0.58017,1.31683,0.58787,1.00846,0.00091882,0.00091882,0.00091882
43,679.944,1.43929,0.6508,0.9918,0.90819,0.84888,0.90809,0.56621,1.34223,0.60208,1.01474,0.00091684,0.00091684,0.00091684
44,695.735,1.42727,0.64092,0.99036,0.91446,0.85973,0.92549,0.58308,1.29452,0.58185,0.99936,0.00091486,0.00091486,0.00091486
45,711.482,1.43196,0.64303,0.98953,0.92179,0.84763,0.91735,0.58349,1.30689,0.60912,1.00509,0.00091288,0.00091288,0.00091288
46,727.513,1.42267,0.63833,0.98949,0.904,0.86045,0.9202,0.58048,1.31596,0.58169,1.00898,0.0009109,0.0009109,0.0009109
47,743.334,1.43453,0.64369,0.98682,0.92376,0.85829,0.92335,0.59277,1.31803,0.59467,1.01796,0.00090892,0.00090892,0.00090892
48,758.952,1.42822,0.63804,0.98815,0.92964,0.84459,0.92031,0.58544,1.3163,0.60652,1.01526,0.00090694,0.00090694,0.00090694
49,774.881,1.42476,0.64085,0.98777,0.92446,0.8532,0.92586,0.58903,1.30347,0.57929,1.00522,0.00090496,0.00090496,0.00090496
50,790.92,1.42331,0.63943,0.98847,0.92755,0.85923,0.9196,0.58654,1.30051,0.59344,1.00477,0.00090298,0.00090298,0.00090298
51,806.534,1.42259,0.64057,0.98544,0.91345,0.85091,0.92259,0.58084,1.33362,0.60875,1.01286,0.000901,0.000901,0.000901
52,822.434,1.43426,0.63777,0.98583,0.93078,0.85902,0.93046,0.59415,1.29449,0.56073,1.00152,0.00089902,0.00089902,0.00089902
53,838.25,1.42549,0.63666,0.9886,0.93116,0.84555,0.92534,0.5884,1.30178,0.57785,1.00622,0.00089704,0.00089704,0.00089704
54,854.234,1.42365,0.63531,0.98739,0.93419,0.85307,0.92601,0.59739,1.29715,0.56191,1.00127,0.00089506,0.00089506,0.00089506
55,869.792,1.41731,0.63315,0.98517,0.9186,0.857,0.9243,0.58717,1.31477,0.57952,1.00536,0.00089308,0.00089308,0.00089308
56,885.581,1.4123,0.62834,0.98504,0.91743,0.85898,0.928,0.59243,1.30863,0.583,1.00079,0.0008911,0.0008911,0.0008911
57,901.347,1.42082,0.63537,0.98916,0.92823,0.85597,0.9255,0.59555,1.28587,0.56662,1.00079,0.00088912,0.00088912,0.00088912
58,917.151,1.42032,0.63425,0.98706,0.91079,0.86837,0.92886,0.59539,1.2825,0.55711,0.99203,0.00088714,0.00088714,0.00088714
59,932.913,1.42037,0.63336,0.98552,0.91622,0.86547,0.93057,0.59853,1.2956,0.54955,0.99789,0.00088516,0.00088516,0.00088516
60,948.708,1.42337,0.63406,0.98523,0.91765,0.85599,0.92246,0.58913,1.30084,0.56704,1.00166,0.00088318,0.00088318,0.00088318
61,964.353,1.4285,0.63598,0.98635,0.91517,0.86689,0.93089,0.59485,1.29144,0.57639,1.00028,0.0008812,0.0008812,0.0008812
62,980.103,1.40556,0.62948,0.98442,0.92324,0.86597,0.92784,0.59618,1.30415,0.55945,1.00732,0.00087922,0.00087922,0.00087922
63,995.72,1.40692,0.62413,0.98507,0.91765,0.86387,0.92615,0.59264,1.29259,0.56437,0.99738,0.00087724,0.00087724,0.00087724
64,1011.54,1.41484,0.6288,0.98512,0.93272,0.86529,0.92867,0.60495,1.27767,0.5582,0.99508,0.00087526,0.00087526,0.00087526
65,1027.2,1.40438,0.62458,0.98224,0.92402,0.86442,0.92358,0.59685,1.29712,0.5587,0.99831,0.00087328,0.00087328,0.00087328
66,1042.75,1.40629,0.62572,0.98029,0.92766,0.85472,0.92612,0.59185,1.31085,0.57776,1.011,0.0008713,0.0008713,0.0008713
67,1058.49,1.41639,0.62952,0.98112,0.91194,0.86444,0.91935,0.59032,1.31136,0.58219,1.00753,0.00086932,0.00086932,0.00086932
68,1074.43,1.41499,0.62506,0.98479,0.92633,0.85957,0.92676,0.59222,1.30241,0.5779,1.00579,0.00086734,0.00086734,0.00086734
69,1090.04,1.39957,0.62343,0.98386,0.92938,0.85416,0.92945,0.59729,1.31447,0.57915,1.00595,0.00086536,0.00086536,0.00086536
70,1105.9,1.41135,0.62672,0.98593,0.9175,0.8728,0.92699,0.59473,1.29822,0.56937,1.00217,0.00086338,0.00086338,0.00086338
71,1121.52,1.40298,0.62009,0.98592,0.9273,0.87231,0.93129,0.60166,1.28376,0.5439,0.99578,0.0008614,0.0008614,0.0008614
72,1137.19,1.39669,0.6148,0.98159,0.92724,0.86656,0.92989,0.60283,1.29161,0.55485,0.99986,0.00085942,0.00085942,0.00085942
73,1152.87,1.40098,0.62026,0.98163,0.924,0.86477,0.93117,0.59956,1.29304,0.55369,1.00017,0.00085744,0.00085744,0.00085744
74,1168.53,1.39935,0.62365,0.98448,0.93012,0.8674,0.93263,0.60263,1.27265,0.55655,0.98756,0.00085546,0.00085546,0.00085546
75,1184.1,1.39858,0.61912,0.98251,0.92325,0.87779,0.93329,0.60607,1.27883,0.54158,0.99487,0.00085348,0.00085348,0.00085348
76,1199.87,1.40534,0.62302,0.9796,0.92166,0.87499,0.93214,0.60155,1.30395,0.55346,1.01162,0.0008515,0.0008515,0.0008515
77,1215.36,1.40005,0.61955,0.98414,0.9192,0.88325,0.93359,0.60732,1.27592,0.54047,0.99253,0.00084952,0.00084952,0.00084952
78,1231.05,1.40985,0.62379,0.98622,0.92704,0.87347,0.92952,0.59627,1.28448,0.55028,1.00813,0.00084754,0.00084754,0.00084754
79,1246.72,1.40087,0.62004,0.98317,0.94096,0.86511,0.92642,0.59937,1.27545,0.55515,0.99635,0.00084556,0.00084556,0.00084556
80,1262.32,1.39594,0.61934,0.98211,0.91853,0.86942,0.93199,0.60197,1.27881,0.55496,0.9964,0.00084358,0.00084358,0.00084358
81,1277.98,1.40009,0.61572,0.97838,0.91521,0.87035,0.9297,0.59821,1.28079,0.55336,0.9966,0.0008416,0.0008416,0.0008416
82,1293.88,1.39371,0.61578,0.98177,0.93035,0.86555,0.92907,0.60554,1.28273,0.54022,0.99627,0.00083962,0.00083962,0.00083962
83,1309.36,1.39026,0.61472,0.97738,0.9281,0.87818,0.93488,0.60785,1.27357,0.53897,0.9894,0.00083764,0.00083764,0.00083764
84,1324.88,1.39868,0.61505,0.98042,0.92594,0.86833,0.93086,0.60193,1.28877,0.56335,0.99767,0.00083566,0.00083566,0.00083566
85,1340.41,1.39065,0.61505,0.98184,0.93413,0.86599,0.92822,0.60347,1.28217,0.54821,0.99374,0.00083368,0.00083368,0.00083368
86,1356.12,1.39532,0.61307,0.97818,0.92486,0.87231,0.93204,0.60258,1.28713,0.551,0.99803,0.0008317,0.0008317,0.0008317
87,1371.67,1.39593,0.61542,0.97998,0.92262,0.8773,0.93148,0.6034,1.28156,0.54807,0.99886,0.00082972,0.00082972,0.00082972
88,1387.43,1.40124,0.61615,0.9784,0.93073,0.87781,0.93493,0.60738,1.27015,0.54049,0.9932,0.00082774,0.00082774,0.00082774
89,1403.11,1.38895,0.61326,0.97949,0.92278,0.88186,0.93409,0.60626,1.27479,0.5318,0.99559,0.00082576,0.00082576,0.00082576
90,1419.14,1.39167,0.61275,0.97876,0.92415,0.8762,0.93632,0.60641,1.27347,0.53668,0.99331,0.00082378,0.00082378,0.00082378
91,1435.03,1.38678,0.60789,0.97808,0.92755,0.87369,0.93122,0.60874,1.28291,0.54096,1.00139,0.0008218,0.0008218,0.0008218
92,1450.99,1.39235,0.60871,0.97359,0.91589,0.87002,0.93251,0.60148,1.29818,0.5636,1.00187,0.00081982,0.00081982,0.00081982
